Country/Region,Date,Confirmed,Deaths,Lat,Long
Liberia,2014-09-22,863.0,670.0,6.4281,-9.4295
Senegal,2014-09-22,1.0,0.0,14.4974,-14.4524
Guinea,2014-09-22,818.0,465.0,9.9456,-9.6966
Liberia,2014-09-24,890.0,671.0,6.4281,-9.4295
Guinea,2014-09-24,832.0,468.0,9.9456,-9.6966
Nigeria,2014-09-24,19.0,7.0,9.082,8.6753
Senegal,2014-09-24,1.0,0.0,14.4974,-14.4524
Sierra Leone,2014-09-24,1745.0,552.0,8.460555000000001,-11.779889
Sierra Leone,2014-09-26,1816.0,557.0,8.460555000000001,-11.779889
Liberia,2014-09-26,914.0,792.0,6.4281,-9.4295
Senegal,2014-09-26,1.0,0.0,14.4974,-14.4524
Guinea,2014-09-26,876.0,481.0,9.9456,-9.6966
Nigeria,2014-09-26,19.0,7.0,9.082,8.6753
Guinea,2014-10-01,950.0,535.0,9.9456,-9.6966
Senegal,2014-10-01,1.0,0.0,14.4974,-14.4524
Nigeria,2014-10-01,19.0,7.0,9.082,8.6753
Sierra Leone,2014-10-01,2076.0,574.0,8.460555000000001,-11.779889
Liberia,2014-10-01,927.0,890.0,6.4281,-9.4295
US,2014-10-03,1.0,0.0,37.0902,-95.7129
Nigeria,2014-10-03,19.0,7.0,9.082,8.6753
Guinea,2014-10-03,977.0,562.0,9.9456,-9.6966
Liberia,2014-10-03,931.0,934.0,6.4281,-9.4295
Sierra Leone,2014-10-03,2179.0,575.0,8.460555000000001,-11.779889
Senegal,2014-10-03,1.0,0.0,14.4974,-14.4524
Nigeria,2014-10-08,19.0,7.0,9.082,8.6753
US,2014-10-08,1.0,0.0,37.0902,-95.7129
Senegal,2014-10-08,1.0,0.0,14.4974,-14.4524
Guinea,2014-10-08,1044.0,587.0,9.9456,-9.6966
Sierra Leone,2014-10-08,2455.0,725.0,8.460555000000001,-11.779889
Liberia,2014-10-08,941.0,1018.0,6.4281,-9.4295
US,2014-10-10,1.0,0.0,37.0902,-95.7129
Senegal,2014-10-10,1.0,0.0,14.4974,-14.4524
Liberia,2014-10-10,943.0,1072.0,6.4281,-9.4295
Nigeria,2014-10-10,19.0,7.0,9.082,8.6753
Spain,2014-10-10,1.0,0.0,40.0,-4.0
Guinea,2014-10-10,1097.0,598.0,9.9456,-9.6966
Sierra Leone,2014-10-10,2593.0,753.0,8.460555000000001,-11.779889
US,2014-10-15,2.0,1.0,37.0902,-95.7129
Senegal,2014-10-15,1.0,0.0,14.4974,-14.4524
Nigeria,2014-10-15,19.0,7.0,9.082,8.6753
Liberia,2014-10-15,950.0,,6.4281,-9.4295
Spain,2014-10-15,1.0,0.0,40.0,-4.0
Guinea,2014-10-15,1184.0,653.0,9.9456,-9.6966
Sierra Leone,2014-10-15,2849.0,926.0,8.460555000000001,-11.779889
Guinea,2014-10-17,1217.0,671.0,9.9456,-9.6966
Nigeria,2014-10-17,19.0,7.0,9.082,8.6753
Spain,2014-10-17,1.0,0.0,40.0,-4.0
Senegal,2014-10-17,1.0,0.0,14.4974,-14.4524
US,2014-10-17,3.0,1.0,37.0902,-95.7129
Liberia,2014-10-17,,,6.4281,-9.4295
Sierra Leone,2014-10-17,2977.0,932.0,8.460555000000001,-11.779889
Nigeria,2014-10-22,19.0,7.0,9.082,8.6753
Spain,2014-10-22,1.0,0.0,40.0,-4.0
US,2014-10-22,3.0,1.0,37.0902,-95.7129
Sierra Leone,2014-10-22,3223.0,986.0,8.460555000000001,-11.779889
Senegal,2014-10-22,1.0,0.0,14.4974,-14.4524
Liberia,2014-10-22,965.0,1241.0,6.4281,-9.4295
Guinea,2014-10-22,1289.0,710.0,9.9456,-9.6966
Mali,2014-10-25,1.0,1.0,17.570692,-3.996166000000001
US,2014-10-25,4.0,1.0,37.0902,-95.7129
Sierra Leone,2014-10-25,3389.0,1008.0,8.460555000000001,-11.779889
Spain,2014-10-25,1.0,0.0,40.0,-4.0
Senegal,2014-10-25,1.0,0.0,14.4974,-14.4524
Nigeria,2014-10-25,19.0,7.0,9.082,8.6753
Guinea,2014-10-25,1312.0,732.0,9.9456,-9.6966
Liberia,2014-10-25,965.0,1241.0,6.4281,-9.4295
Liberia,2014-10-29,2515.0,,6.4281,-9.4295
Mali,2014-10-29,1.0,1.0,17.570692,-3.996166000000001
Nigeria,2014-10-29,19.0,7.0,9.082,8.6753
Senegal,2014-10-29,1.0,0.0,14.4974,-14.4524
Spain,2014-10-29,1.0,0.0,40.0,-4.0
Guinea,2014-10-29,1391.0,,9.9456,-9.6966
US,2014-10-29,4.0,1.0,37.0902,-95.7129
Sierra Leone,2014-10-29,3700.0,,8.460555000000001,-11.779889
Guinea,2014-10-31,1409.0,,9.9456,-9.6966
Nigeria,2014-10-31,19.0,7.0,9.082,8.6753
Spain,2014-10-31,1.0,0.0,40.0,-4.0
US,2014-10-31,4.0,1.0,37.0902,-95.7129
Senegal,2014-10-31,1.0,0.0,14.4974,-14.4524
Mali,2014-10-31,1.0,1.0,17.570692,-3.996166000000001
Liberia,2014-10-31,2515.0,,6.4281,-9.4295
Sierra Leone,2014-10-31,3778.0,,8.460555000000001,-11.779889
Spain,2014-11-05,1.0,0.0,40.0,-4.0
US,2014-11-05,4.0,1.0,37.0902,-95.7129
Guinea,2014-11-05,1457.0,837.0,9.9456,-9.6966
Liberia,2014-11-05,2451.0,,6.4281,-9.4295
Mali,2014-11-05,1.0,1.0,17.570692,-3.996166000000001
Nigeria,2014-11-05,19.0,7.0,9.082,8.6753
Senegal,2014-11-05,1.0,0.0,14.4974,-14.4524
Sierra Leone,2014-11-05,4057.0,893.0,8.460555000000001,-11.779889
Nigeria,2014-11-07,19.0,7.0,9.082,8.6753
Guinea,2014-11-07,1479.0,850.0,9.9456,-9.6966
US,2014-11-07,4.0,1.0,37.0902,-95.7129
Senegal,2014-11-07,1.0,0.0,14.4974,-14.4524
Liberia,2014-11-07,2514.0,,6.4281,-9.4295
Spain,2014-11-07,1.0,0.0,40.0,-4.0
Mali,2014-11-07,1.0,1.0,17.570692,-3.996166000000001
Sierra Leone,2014-11-07,4149.0,921.0,8.460555000000001,-11.779889
Spain,2014-11-12,1.0,0.0,40.0,-4.0
US,2014-11-12,4.0,1.0,37.0902,-95.7129
Mali,2014-11-12,2.0,2.0,17.570692,-3.996166000000001
Nigeria,2014-11-12,19.0,7.0,9.082,8.6753
Guinea,2014-11-12,1612.0,934.0,9.9456,-9.6966
Sierra Leone,2014-11-12,4523.0,960.0,8.460555000000001,-11.779889
Liberia,2014-11-12,2553.0,,6.4281,-9.4295
Senegal,2014-11-12,1.0,0.0,14.4974,-14.4524
Senegal,2014-11-14,1.0,0.0,14.4974,-14.4524
Guinea,2014-11-14,1647.0,958.0,9.9456,-9.6966
Spain,2014-11-14,1.0,0.0,40.0,-4.0
Nigeria,2014-11-14,19.0,7.0,9.082,8.6753
Mali,2014-11-14,3.0,,17.570692,-3.996166000000001
US,2014-11-14,4.0,1.0,37.0902,-95.7129
Liberia,2014-11-14,2562.0,,6.4281,-9.4295
Sierra Leone,2014-11-14,4683.0,978.0,8.460555000000001,-11.779889
Liberia,2014-11-19,2643.0,,6.4281,-9.4295
Spain,2014-11-19,1.0,0.0,40.0,-4.0
Sierra Leone,2014-11-19,5056.0,1041.0,8.460555000000001,-11.779889
Senegal,2014-11-19,1.0,0.0,14.4974,-14.4524
Nigeria,2014-11-19,19.0,7.0,9.082,8.6753
Mali,2014-11-19,5.0,4.0,17.570692,-3.996166000000001
US,2014-11-19,4.0,1.0,37.0902,-95.7129
Guinea,2014-11-19,1698.0,982.0,9.9456,-9.6966
Spain,2014-11-21,1.0,0.0,40.0,-4.0
Liberia,2014-11-21,2669.0,,6.4281,-9.4295
Nigeria,2014-11-21,19.0,7.0,9.082,8.6753
US,2014-11-21,4.0,1.0,37.0902,-95.7129
Sierra Leone,2014-11-21,5152.0,1058.0,8.460555000000001,-11.779889
Mali,2014-11-21,5.0,5.0,17.570692,-3.996166000000001
Senegal,2014-11-21,1.0,0.0,14.4974,-14.4524
Guinea,2014-11-21,1745.0,998.0,9.9456,-9.6966
Sierra Leone,2014-11-26,5441.0,1189.0,8.460555000000001,-11.779889
Liberia,2014-11-26,2727.0,,6.4281,-9.4295
Mali,2014-11-26,7.0,5.0,17.570692,-3.996166000000001
US,2014-11-26,4.0,1.0,37.0902,-95.7129
Spain,2014-11-26,1.0,0.0,40.0,-4.0
Nigeria,2014-11-26,19.0,7.0,9.082,8.6753
Guinea,2014-11-26,1850.0,1050.0,9.9456,-9.6966
Senegal,2014-11-26,1.0,0.0,14.4974,-14.4524
Senegal,2014-12-01,1.0,0.0,14.4974,-14.4524
Mali,2014-12-01,7.0,,17.570692,-3.996166000000001
Spain,2014-12-01,1.0,0.0,40.0,-4.0
Sierra Leone,2014-12-01,5831.0,1321.0,8.460555000000001,-11.779889
Liberia,2014-12-01,2801.0,,6.4281,-9.4295
Nigeria,2014-12-01,19.0,7.0,9.082,8.6753
Guinea,2014-12-01,1921.0,1102.0,9.9456,-9.6966
US,2014-12-01,4.0,1.0,37.0902,-95.7129
Mali,2014-12-03,7.0,,17.570692,-3.996166000000001
Spain,2014-12-03,1.0,0.0,40.0,-4.0
Guinea,2014-12-03,1929.0,1117.0,9.9456,-9.6966
Senegal,2014-12-03,1.0,0.0,14.4974,-14.4524
Sierra Leone,2014-12-03,5978.0,1374.0,8.460555000000001,-11.779889
Liberia,2014-12-03,2801.0,,6.4281,-9.4295
US,2014-12-03,4.0,1.0,37.0902,-95.7129
Nigeria,2014-12-03,19.0,7.0,9.082,8.6753
Spain,2014-12-10,1.0,0.0,40.0,-4.0
Guinea,2014-12-10,2051.0,1207.0,9.9456,-9.6966
Senegal,2014-12-10,1.0,0.0,14.4974,-14.4524
Mali,2014-12-10,7.0,,17.570692,-3.996166000000001
Liberia,2014-12-10,2830.0,,6.4281,-9.4295
Sierra Leone,2014-12-10,6375.0,1559.0,8.460555000000001,-11.779889
Nigeria,2014-12-10,19.0,7.0,9.082,8.6753
US,2014-12-10,4.0,1.0,37.0902,-95.7129
Spain,2014-12-15,1.0,0.0,40.0,-4.0
Nigeria,2014-12-15,19.0,7.0,9.082,8.6753
Guinea,2014-12-15,2115.0,1255.0,9.9456,-9.6966
US,2014-12-15,4.0,1.0,37.0902,-95.7129
Mali,2014-12-15,7.0,,17.570692,-3.996166000000001
Liberia,2014-12-15,2946.0,,6.4281,-9.4295
Senegal,2014-12-15,1.0,0.0,14.4974,-14.4524
Sierra Leone,2014-12-15,6638.0,1824.0,8.460555000000001,-11.779889
Nigeria,2014-12-17,19.0,7.0,9.082,8.6753
Senegal,2014-12-17,1.0,0.0,14.4974,-14.4524
Spain,2014-12-17,1.0,0.0,40.0,-4.0
Liberia,2014-12-17,2946.0,,6.4281,-9.4295
Mali,2014-12-17,7.0,,17.570692,-3.996166000000001
US,2014-12-17,4.0,1.0,37.0902,-95.7129
Guinea,2014-12-17,2127.0,1262.0,9.9456,-9.6966
Sierra Leone,2014-12-17,6702.0,1876.0,8.460555000000001,-11.779889
Spain,2014-12-22,1.0,0.0,40.0,-4.0
US,2014-12-22,4.0,1.0,37.0902,-95.7129
Nigeria,2014-12-22,19.0,7.0,9.082,8.6753
Senegal,2014-12-22,1.0,0.0,14.4974,-14.4524
Guinea,2014-12-22,2259.0,1323.0,9.9456,-9.6966
Liberia,2014-12-22,3085.0,,6.4281,-9.4295
Mali,2014-12-22,7.0,,17.570692,-3.996166000000001
Sierra Leone,2014-12-22,6975.0,2190.0,8.460555000000001,-11.779889
Sierra Leone,2014-12-23,7017.0,2216.0,8.460555000000001,-11.779889
Mali,2014-12-23,7.0,,17.570692,-3.996166000000001
Spain,2014-12-23,1.0,0.0,40.0,-4.0
Liberia,2014-12-23,3085.0,,6.4281,-9.4295
Senegal,2014-12-23,1.0,0.0,14.4974,-14.4524
Guinea,2014-12-23,2284.0,1344.0,9.9456,-9.6966
Nigeria,2014-12-23,19.0,7.0,9.082,8.6753
US,2014-12-23,4.0,1.0,37.0902,-95.7129
Nigeria,2014-12-24,19.0,7.0,9.082,8.6753
Senegal,2014-12-24,1.0,0.0,14.4974,-14.4524
Guinea,2014-12-24,2284.0,1344.0,9.9456,-9.6966
Sierra Leone,2014-12-24,7017.0,2216.0,8.460555000000001,-11.779889
Spain,2014-12-24,1.0,0.0,40.0,-4.0
Mali,2014-12-24,7.0,,17.570692,-3.996166000000001
Liberia,2014-12-24,3085.0,,6.4281,-9.4295
US,2014-12-24,4.0,1.0,37.0902,-95.7129
Senegal,2014-12-26,1.0,0.0,14.4974,-14.4524
Mali,2014-12-26,7.0,,17.570692,-3.996166000000001
Sierra Leone,2014-12-26,7160.0,2289.0,8.460555000000001,-11.779889
US,2014-12-26,4.0,1.0,37.0902,-95.7129
Nigeria,2014-12-26,19.0,7.0,9.082,8.6753
Guinea,2014-12-26,2342.0,1385.0,9.9456,-9.6966
Liberia,2014-12-26,3085.0,,6.4281,-9.4295
Spain,2014-12-26,1.0,0.0,40.0,-4.0
US,2014-12-29,4.0,1.0,37.0902,-95.7129
Sierra Leone,2014-12-29,7326.0,2366.0,8.460555000000001,-11.779889
Nigeria,2014-12-29,19.0,7.0,9.082,8.6753
Mali,2014-12-29,7.0,,17.570692,-3.996166000000001
Liberia,2014-12-29,3108.0,,6.4281,-9.4295
Guinea,2014-12-29,2384.0,1422.0,9.9456,-9.6966
Senegal,2014-12-29,1.0,0.0,14.4974,-14.4524
Spain,2014-12-29,1.0,0.0,40.0,-4.0
US,2014-12-30,4.0,1.0,37.0902,-95.7129
Sierra Leone,2014-12-30,7354.0,2392.0,8.460555000000001,-11.779889
Mali,2014-12-30,7.0,,17.570692,-3.996166000000001
Liberia,2014-12-30,3108.0,,6.4281,-9.4295
Guinea,2014-12-30,2397.0,1433.0,9.9456,-9.6966
Spain,2014-12-30,1.0,0.0,40.0,-4.0
Senegal,2014-12-30,1.0,0.0,14.4974,-14.4524
Nigeria,2014-12-30,19.0,7.0,9.082,8.6753
Spain,2014-12-31,1.0,0.0,40.0,-4.0
Senegal,2014-12-31,1.0,0.0,14.4974,-14.4524
Liberia,2014-12-31,3110.0,,6.4281,-9.4295
Sierra Leone,2014-12-31,7354.0,2392.0,8.460555000000001,-11.779889
Mali,2014-12-31,7.0,,17.570692,-3.996166000000001
Nigeria,2014-12-31,19.0,7.0,9.082,8.6753
US,2014-12-31,4.0,1.0,37.0902,-95.7129
Guinea,2014-12-31,2397.0,1433.0,9.9456,-9.6966
Nigeria,2015-01-02,19.0,7.0,9.082,8.6753
Spain,2015-01-02,1.0,0.0,40.0,-4.0
US,2015-01-02,4.0,1.0,37.0902,-95.7129
Senegal,2015-01-02,1.0,0.0,14.4974,-14.4524
United Kingdom,2015-01-02,1.0,,21.69400000000001,-71.7979
Liberia,2015-01-02,3110.0,,6.4281,-9.4295
Sierra Leone,2015-01-02,7476.0,2461.0,8.460555000000001,-11.779889
Mali,2015-01-02,7.0,,17.570692,-3.996166000000001
Guinea,2015-01-02,2435.0,1463.0,9.9456,-9.6966
Sierra Leone,2015-01-05,7570.0,2549.0,8.460555000000001,-11.779889
Liberia,2015-01-05,3116.0,,6.4281,-9.4295
Spain,2015-01-05,1.0,0.0,40.0,-4.0
Nigeria,2015-01-05,19.0,7.0,9.082,8.6753
United Kingdom,2015-01-05,1.0,,21.69400000000001,-71.7979
Guinea,2015-01-05,2465.0,1488.0,9.9456,-9.6966
US,2015-01-05,4.0,1.0,37.0902,-95.7129
Mali,2015-01-05,7.0,,17.570692,-3.996166000000001
Senegal,2015-01-05,1.0,0.0,14.4974,-14.4524
United Kingdom,2015-01-06,1.0,0.0,21.69400000000001,-71.7979
Guinea,2015-01-06,2471.0,1499.0,9.9456,-9.6966
Sierra Leone,2015-01-06,7602.0,2577.0,8.460555000000001,-11.779889
Liberia,2015-01-06,3118.0,,6.4281,-9.4295
Spain,2015-01-06,1.0,0.0,40.0,-4.0
US,2015-01-06,4.0,1.0,37.0902,-95.7129
Senegal,2015-01-06,1.0,0.0,14.4974,-14.4524
Nigeria,2015-01-06,19.0,7.0,9.082,8.6753
Mali,2015-01-06,7.0,,17.570692,-3.996166000000001
Spain,2015-01-07,1.0,0.0,40.0,-4.0
Guinea,2015-01-07,2471.0,1499.0,9.9456,-9.6966
Senegal,2015-01-07,1.0,0.0,14.4974,-14.4524
Nigeria,2015-01-07,19.0,7.0,9.082,8.6753
United Kingdom,2015-01-07,1.0,0.0,21.69400000000001,-71.7979
Mali,2015-01-07,7.0,,17.570692,-3.996166000000001
US,2015-01-07,4.0,1.0,37.0902,-95.7129
Sierra Leone,2015-01-07,7602.0,2577.0,8.460555000000001,-11.779889
Liberia,2015-01-07,3118.0,,6.4281,-9.4295
United Kingdom,2015-01-08,1.0,,21.69400000000001,-71.7979
Mali,2015-01-08,7.0,,17.570692,-3.996166000000001
Guinea,2015-01-08,2477.0,1504.0,9.9456,-9.6966
Sierra Leone,2015-01-08,7759.0,2611.0,8.460555000000001,-11.779889
Liberia,2015-01-08,3118.0,,6.4281,-9.4295
Mali,2015-01-09,7.0,,17.570692,-3.996166000000001
Guinea,2015-01-09,2493.0,1515.0,9.9456,-9.6966
United Kingdom,2015-01-09,1.0,,21.69400000000001,-71.7979
Sierra Leone,2015-01-09,7759.0,2611.0,8.460555000000001,-11.779889
Liberia,2015-01-09,3123.0,,6.4281,-9.4295
Liberia,2015-01-12,3123.0,,6.4281,-9.4295
United Kingdom,2015-01-12,1.0,,21.69400000000001,-71.7979
Sierra Leone,2015-01-12,7766.0,2683.0,8.460555000000001,-11.779889
Mali,2015-01-12,7.0,,17.570692,-3.996166000000001
Guinea,2015-01-12,2508.0,1523.0,9.9456,-9.6966
United Kingdom,2015-01-13,1.0,,21.69400000000001,-71.7979
Mali,2015-01-13,7.0,,17.570692,-3.996166000000001
Guinea,2015-01-13,2508.0,1523.0,9.9456,-9.6966
Liberia,2015-01-13,3123.0,,6.4281,-9.4295
Sierra Leone,2015-01-13,7766.0,2683.0,8.460555000000001,-11.779889
Liberia,2015-01-14,3127.0,,6.4281,-9.4295
US,2015-01-14,4.0,1.0,37.0902,-95.7129
Senegal,2015-01-14,1.0,0.0,14.4974,-14.4524
Guinea,2015-01-14,2514.0,1530.0,9.9456,-9.6966
Spain,2015-01-14,1.0,0.0,40.0,-4.0
Nigeria,2015-01-14,19.0,7.0,9.082,8.6753
Sierra Leone,2015-01-14,7786.0,2696.0,8.460555000000001,-11.779889
Mali,2015-01-14,7.0,,17.570692,-3.996166000000001
United Kingdom,2015-01-14,1.0,,21.69400000000001,-71.7979
Sierra Leone,2015-01-15,7802.0,2701.0,8.460555000000001,-11.779889
Liberia,2015-01-15,3127.0,,6.4281,-9.4295
US,2015-01-15,4.0,1.0,37.0902,-95.7129
Mali,2015-01-15,7.0,,17.570692,-3.996166000000001
Spain,2015-01-15,1.0,0.0,40.0,-4.0
Guinea,2015-01-15,2522.0,1537.0,9.9456,-9.6966
United Kingdom,2015-01-15,1.0,,21.69400000000001,-71.7979
Nigeria,2015-01-15,19.0,7.0,9.082,8.6753
Senegal,2015-01-15,1.0,0.0,14.4974,-14.4524
Spain,2015-01-16,1.0,0.0,40.0,-4.0
Nigeria,2015-01-16,19.0,7.0,9.082,8.6753
Guinea,2015-01-16,2525.0,1541.0,9.9456,-9.6966
Mali,2015-01-16,7.0,,17.570692,-3.996166000000001
Senegal,2015-01-16,1.0,0.0,14.4974,-14.4524
Liberia,2015-01-16,3127.0,,6.4281,-9.4295
US,2015-01-16,4.0,1.0,37.0902,-95.7129
Sierra Leone,2015-01-16,7825.0,2717.0,8.460555000000001,-11.779889
United Kingdom,2015-01-16,1.0,,21.69400000000001,-71.7979
Nigeria,2015-01-19,19.0,7.0,9.082,8.6753
Liberia,2015-01-19,3131.0,,6.4281,-9.4295
United Kingdom,2015-01-19,1.0,,21.69400000000001,-71.7979
Spain,2015-01-19,1.0,0.0,40.0,-4.0
Guinea,2015-01-19,2539.0,1556.0,9.9456,-9.6966
Sierra Leone,2015-01-19,7883.0,2766.0,8.460555000000001,-11.779889
Senegal,2015-01-19,1.0,0.0,14.4974,-14.4524
US,2015-01-19,4.0,1.0,37.0902,-95.7129
Mali,2015-01-19,7.0,,17.570692,-3.996166000000001
Spain,2015-01-20,1.0,0.0,40.0,-4.0
United Kingdom,2015-01-20,1.0,,21.69400000000001,-71.7979
Senegal,2015-01-20,1.0,0.0,14.4974,-14.4524
Nigeria,2015-01-20,19.0,7.0,9.082,8.6753
Liberia,2015-01-20,3135.0,,6.4281,-9.4295
Guinea,2015-01-20,2539.0,1557.0,9.9456,-9.6966
Mali,2015-01-20,7.0,,17.570692,-3.996166000000001
US,2015-01-20,4.0,1.0,37.0902,-95.7129
Sierra Leone,2015-01-20,7903.0,2779.0,8.460555000000001,-11.779889
Sierra Leone,2015-01-21,7903.0,2779.0,8.460555000000001,-11.779889
Nigeria,2015-01-21,19.0,7.0,9.082,8.6753
Liberia,2015-01-21,3135.0,,6.4281,-9.4295
Spain,2015-01-21,1.0,0.0,40.0,-4.0
Mali,2015-01-21,7.0,,17.570692,-3.996166000000001
Senegal,2015-01-21,1.0,0.0,14.4974,-14.4524
US,2015-01-21,4.0,1.0,37.0902,-95.7129
Guinea,2015-01-21,2539.0,1557.0,9.9456,-9.6966
United Kingdom,2015-01-21,1.0,,21.69400000000001,-71.7979
Liberia,2015-01-22,3136.0,,6.4281,-9.4295
Senegal,2015-01-22,1.0,0.0,14.4974,-14.4524
US,2015-01-22,4.0,1.0,37.0902,-95.7129
Nigeria,2015-01-22,19.0,7.0,9.082,8.6753
Sierra Leone,2015-01-22,7909.0,2787.0,8.460555000000001,-11.779889
Mali,2015-01-22,7.0,,17.570692,-3.996166000000001
Guinea,2015-01-22,2542.0,1560.0,9.9456,-9.6966
Spain,2015-01-22,1.0,0.0,40.0,-4.0
United Kingdom,2015-01-22,1.0,,21.69400000000001,-71.7979
Sierra Leone,2015-01-23,7921.0,2793.0,8.460555000000001,-11.779889
Mali,2015-01-23,7.0,,17.570692,-3.996166000000001
Liberia,2015-01-23,3136.0,,6.4281,-9.4295
Spain,2015-01-23,1.0,0.0,40.0,-4.0
Guinea,2015-01-23,2545.0,1561.0,9.9456,-9.6966
Senegal,2015-01-23,1.0,0.0,14.4974,-14.4524
Nigeria,2015-01-23,19.0,7.0,9.082,8.6753
US,2015-01-23,4.0,1.0,37.0902,-95.7129
United Kingdom,2015-01-23,1.0,,21.69400000000001,-71.7979
Senegal,2015-01-26,1.0,0.0,14.4974,-14.4524
Sierra Leone,2015-01-26,7963.0,2829.0,8.460555000000001,-11.779889
Nigeria,2015-01-26,19.0,7.0,9.082,8.6753
US,2015-01-26,4.0,1.0,37.0902,-95.7129
Guinea,2015-01-26,2559.0,1574.0,9.9456,-9.6966
United Kingdom,2015-01-26,1.0,,21.69400000000001,-71.7979
Mali,2015-01-26,7.0,,17.570692,-3.996166000000001
Liberia,2015-01-26,3136.0,,6.4281,-9.4295
Spain,2015-01-26,1.0,0.0,40.0,-4.0
Mali,2015-01-27,7.0,,17.570692,-3.996166000000001
Liberia,2015-01-27,3138.0,,6.4281,-9.4295
US,2015-01-27,4.0,1.0,37.0902,-95.7129
Spain,2015-01-27,1.0,0.0,40.0,-4.0
Nigeria,2015-01-27,19.0,7.0,9.082,8.6753
Senegal,2015-01-27,1.0,0.0,14.4974,-14.4524
Sierra Leone,2015-01-27,7968.0,2833.0,8.460555000000001,-11.779889
United Kingdom,2015-01-27,1.0,,21.69400000000001,-71.7979
Guinea,2015-01-27,2569.0,1578.0,9.9456,-9.6966
Senegal,2015-01-28,1.0,0.0,14.4974,-14.4524
Liberia,2015-01-28,3138.0,,6.4281,-9.4295
US,2015-01-28,4.0,1.0,37.0902,-95.7129
Sierra Leone,2015-01-28,7968.0,2833.0,8.460555000000001,-11.779889
Spain,2015-01-28,1.0,0.0,40.0,-4.0
United Kingdom,2015-01-28,1.0,,21.69400000000001,-71.7979
Mali,2015-01-28,7.0,,17.570692,-3.996166000000001
Nigeria,2015-01-28,19.0,7.0,9.082,8.6753
Guinea,2015-01-28,2569.0,1578.0,9.9456,-9.6966
Mali,2015-01-29,7.0,,17.570692,-3.996166000000001
Nigeria,2015-01-29,19.0,7.0,9.082,8.6753
Spain,2015-01-29,1.0,0.0,40.0,-4.0
Liberia,2015-01-29,3138.0,,6.4281,-9.4295
US,2015-01-29,4.0,1.0,37.0902,-95.7129
Senegal,2015-01-29,1.0,0.0,14.4974,-14.4524
Sierra Leone,2015-01-29,7977.0,2841.0,8.460555000000001,-11.779889
Guinea,2015-01-29,2571.0,1579.0,9.9456,-9.6966
United Kingdom,2015-01-29,1.0,,21.69400000000001,-71.7979
Spain,2015-01-30,1.0,0.0,40.0,-4.0
Liberia,2015-01-30,3138.0,,6.4281,-9.4295
Sierra Leone,2015-01-30,7989.0,2850.0,8.460555000000001,-11.779889
United Kingdom,2015-01-30,1.0,,21.69400000000001,-71.7979
Senegal,2015-01-30,1.0,0.0,14.4974,-14.4524
US,2015-01-30,4.0,1.0,37.0902,-95.7129
Guinea,2015-01-30,2575.0,1581.0,9.9456,-9.6966
Nigeria,2015-01-30,19.0,7.0,9.082,8.6753
Mali,2015-01-30,7.0,,17.570692,-3.996166000000001
Liberia,2015-02-02,3138.0,,6.4281,-9.4295
Sierra Leone,2015-02-02,8042.0,2908.0,8.460555000000001,-11.779889
US,2015-02-02,4.0,1.0,37.0902,-95.7129
Nigeria,2015-02-02,19.0,7.0,9.082,8.6753
Senegal,2015-02-02,1.0,0.0,14.4974,-14.4524
Guinea,2015-02-02,2593.0,1595.0,9.9456,-9.6966
Mali,2015-02-02,7.0,,17.570692,-3.996166000000001
